,Device_Type,Order_Date,Monthly_Demand,Lead_Time,Stock_Level
0,Surgical,2018-01-01,565,18,608
1,Therapeutic,2018-01-03,480,12,497
2,Surgical,2018-01-05,599,9,646
3,Monitoring,2018-01-05,478,18,500
4,Monitoring,2018-01-06,516,12,537
5,Therapeutic,2018-01-06,436,24,451
6,Diagnostic,2018-01-08,453,27,482
7,Monitoring,2018-01-09,632,7,670
8,Surgical,2018-01-11,499,3,519
9,Therapeutic,2018-01-12,546,28,587
10,Therapeutic,2018-01-12,477,15,488
11,Diagnostic,2018-01-12,435,8,448
12,Therapeutic,2018-01-13,485,29,521
13,Surgical,2018-01-13,467,22,498
14,Diagnostic,2018-01-13,530,11,557
15,Therapeutic,2018-01-15,547,20,575
16,Surgical,2018-01-16,421,15,443
17,Therapeutic,2018-01-16,455,6,478
18,Therapeutic,2018-01-17,599,27,627
19,Diagnostic,2018-01-19,485,4,509
20,Monitoring,2018-01-19,482,25,508
21,Monitoring,2018-01-20,597,20,626
22,Monitoring,2018-01-21,582,22,610
23,Surgical,2018-01-21,592,15,616
24,Diagnostic,2018-01-22,426,7,454
25,Diagnostic,2018-01-23,574,13,592
26,Surgical,2018-01-23,607,27,640
27,Therapeutic,2018-01-24,569,14,614
28,Monitoring,2018-01-26,536,5,555
29,Diagnostic,2018-01-27,480,16,506
30,Therapeutic,2018-01-28,504,13,519
31,Diagnostic,2018-01-28,572,14,600
32,Diagnostic,2018-01-29,410,13,421
33,Diagnostic,2018-01-29,482,25,509
34,Diagnostic,2018-02-02,503,25,532
35,Therapeutic,2018-02-03,457,13,479
36,Monitoring,2018-02-06,485,16,503
37,Therapeutic,2018-02-07,539,7,577
38,Surgical,2018-02-07,554,18,592
39,Surgical,2018-02-08,585,25,609
40,Therapeutic,2018-02-08,576,13,607
41,Surgical,2018-02-09,430,19,461
42,Therapeutic,2018-02-10,509,3,548
43,Surgical,2018-02-13,577,11,601
44,Monitoring,2018-02-15,518,28,535
45,Diagnostic,2018-02-15,660,18,691
46,Therapeutic,2018-02-15,475,19,501
47,Therapeutic,2018-02-17,531,9,556
48,Diagnostic,2018-02-18,450,3,469
49,Therapeutic,2018-02-18,586,8,611
50,Monitoring,2018-02-19,490,10,516
51,Monitoring,2018-02-20,569,13,597
52,Monitoring,2018-02-20,502,6,537
53,Monitoring,2018-02-21,621,19,665
54,Surgical,2018-02-25,503,14,521
55,Therapeutic,2018-02-26,558,6,589
56,Surgical,2018-02-26,540,17,581
57,Monitoring,2018-02-26,519,4,531
58,Monitoring,2018-02-28,495,28,517
59,Therapeutic,2018-02-28,546,3,583
60,Monitoring,2018-02-28,626,22,655
61,Diagnostic,2018-03-02,607,7,651
62,Surgical,2018-03-03,394,27,408
63,Surgical,2018-03-03,447,20,476
64,Diagnostic,2018-03-03,526,12,547
65,Monitoring,2018-03-04,630,3,667
66,Diagnostic,2018-03-04,518,12,540
67,Monitoring,2018-03-05,450,20,466
68,Diagnostic,2018-03-06,676,23,729
69,Diagnostic,2018-03-06,607,9,655
70,Diagnostic,2018-03-06,550,5,576
71,Diagnostic,2018-03-07,612,21,660
72,Monitoring,2018-03-07,540,3,566
73,Therapeutic,2018-03-08,505,21,543
74,Monitoring,2018-03-08,472,15,491
75,Surgical,2018-03-10,447,26,459
76,Diagnostic,2018-03-11,549,17,579
77,Therapeutic,2018-03-12,637,11,658
78,Diagnostic,2018-03-13,660,7,711
79,Surgical,2018-03-13,510,25,520
80,Diagnostic,2018-03-13,507,16,536
81,Surgical,2018-03-13,593,15,613
82,Therapeutic,2018-03-15,606,3,638
83,Monitoring,2018-03-15,613,12,627
84,Therapeutic,2018-03-16,545,7,567
85,Surgical,2018-03-17,569,6,583
86,Monitoring,2018-03-18,594,5,636
87,Therapeutic,2018-03-18,562,27,603
88,Therapeutic,2018-03-20,542,27,582
89,Monitoring,2018-03-20,458,21,472
90,Therapeutic,2018-03-20,656,5,671
91,Surgical,2018-03-21,590,9,607
92,Therapeutic,2018-03-22,573,28,585
93,Surgical,2018-03-22,522,24,538
94,Surgical,2018-03-23,613,26,629
95,Therapeutic,2018-03-23,571,12,594
96,Diagnostic,2018-03-26,505,7,519
97,Surgical,2018-03-27,612,14,649
98,Diagnostic,2018-03-29,497,12,520
99,Surgical,2018-03-31,505,23,541
100,Diagnostic,2018-04-02,572,15,603
101,Monitoring,2018-04-03,581,11,612
102,Diagnostic,2018-04-03,475,3,508
103,Therapeutic,2018-04-04,554,6,572
104,Monitoring,2018-04-05,580,23,615
105,Surgical,2018-04-06,591,24,621
106,Monitoring,2018-04-07,625,8,666
107,Surgical,2018-04-09,538,4,558
108,Diagnostic,2018-04-09,533,18,571
109,Diagnostic,2018-04-09,615,21,648
110,Diagnostic,2018-04-11,671,4,707
111,Therapeutic,2018-04-11,561,26,575
112,Monitoring,2018-04-11,704,6,745
113,Surgical,2018-04-15,561,12,585
114,Monitoring,2018-04-15,610,5,632
115,Diagnostic,2018-04-15,589,21,634
116,Diagnostic,2018-04-16,540,15,555
117,Therapeutic,2018-04-16,615,8,664
118,Monitoring,2018-04-16,571,24,603
119,Monitoring,2018-04-16,648,8,685
120,Monitoring,2018-04-17,551,23,588
121,Surgical,2018-04-17,649,12,683
122,Surgical,2018-04-17,576,4,594
123,Monitoring,2018-04-18,592,19,627
124,Monitoring,2018-04-18,592,9,620
125,Diagnostic,2018-04-19,593,3,630
126,Monitoring,2018-04-20,549,25,588
127,Surgical,2018-04-20,583,22,597
128,Diagnostic,2018-04-21,663,13,697
129,Surgical,2018-04-22,695,17,715
130,Monitoring,2018-04-23,589,6,621
131,Therapeutic,2018-04-24,595,17,613
132,Monitoring,2018-04-25,579,20,622
133,Monitoring,2018-04-28,569,17,601
134,Monitoring,2018-04-29,512,10,542
135,Therapeutic,2018-05-01,652,8,701
136,Monitoring,2018-05-01,633,22,646
137,Surgical,2018-05-03,634,29,679
138,Surgical,2018-05-05,512,28,527
139,Surgical,2018-05-09,597,19,611
140,Diagnostic,2018-05-10,537,17,568
141,Surgical,2018-05-11,512,11,528
142,Monitoring,2018-05-11,653,23,687
143,Monitoring,2018-05-12,598,21,626
144,Therapeutic,2018-05-13,568,14,608
145,Diagnostic,2018-05-16,691,24,706
146,Therapeutic,2018-05-19,595,21,609
147,Monitoring,2018-05-23,601,29,629
148,Monitoring,2018-05-23,674,13,704
149,Surgical,2018-05-24,534,26,544
150,Diagnostic,2018-05-25,602,15,649
151,Diagnostic,2018-05-26,568,17,580
152,Surgical,2018-05-29,540,18,558
153,Diagnostic,2018-05-29,756,14,774
154,Therapeutic,2018-05-29,673,11,718
155,Diagnostic,2018-05-30,607,28,637
156,Therapeutic,2018-06-01,578,22,604
157,Therapeutic,2018-06-01,578,7,617
158,Monitoring,2018-06-02,574,11,592
159,Monitoring,2018-06-03,469,15,485
160,Therapeutic,2018-06-04,670,26,707
161,Monitoring,2018-06-07,625,27,658
162,Monitoring,2018-06-08,574,15,601
163,Surgical,2018-06-10,589,5,619
164,Diagnostic,2018-06-12,603,8,639
165,Therapeutic,2018-06-14,557,13,583
166,Monitoring,2018-06-14,634,27,649
167,Therapeutic,2018-06-20,577,17,606
168,Monitoring,2018-06-21,625,26,673
169,Surgical,2018-06-21,603,23,641
170,Monitoring,2018-06-21,594,15,613
171,Therapeutic,2018-06-22,543,9,571
172,Surgical,2018-06-23,663,28,700
173,Surgical,2018-06-24,607,9,639
174,Surgical,2018-06-25,577,29,611
175,Monitoring,2018-06-26,517,25,550
176,Surgical,2018-06-28,598,5,639
177,Monitoring,2018-06-29,543,25,583
178,Monitoring,2018-06-29,577,18,602
179,Diagnostic,2018-07-01,560,21,572
180,Monitoring,2018-07-02,616,7,640
181,Surgical,2018-07-03,574,15,592
182,Therapeutic,2018-07-04,556,22,571
183,Surgical,2018-07-04,604,28,647
184,Surgical,2018-07-04,754,5,779
185,Therapeutic,2018-07-05,623,11,663
186,Monitoring,2018-07-07,550,11,563
187,Therapeutic,2018-07-11,588,9,606
188,Monitoring,2018-07-11,556,15,579
189,Therapeutic,2018-07-11,560,24,585
190,Surgical,2018-07-13,589,6,621
191,Monitoring,2018-07-15,521,5,534
192,Therapeutic,2018-07-17,602,25,626
193,Monitoring,2018-07-23,537,27,564
194,Surgical,2018-07-25,584,26,599
195,Surgical,2018-07-26,492,18,521
196,Surgical,2018-07-27,586,24,611
197,Diagnostic,2018-07-29,675,8,689
198,Therapeutic,2018-07-29,634,21,671
199,Diagnostic,2018-07-29,545,26,564
200,Surgical,2018-07-31,588,24,627
201,Diagnostic,2018-07-31,573,22,607
202,Surgical,2018-08-01,647,20,662
203,Monitoring,2018-08-03,550,29,575
204,Therapeutic,2018-08-05,658,18,671
205,Surgical,2018-08-08,668,9,709
206,Diagnostic,2018-08-12,713,20,743
207,Therapeutic,2018-08-12,555,22,585
208,Therapeutic,2018-08-13,676,4,728
209,Surgical,2018-08-14,478,24,491
210,Therapeutic,2018-08-15,682,9,723
211,Monitoring,2018-08-16,497,11,531
212,Surgical,2018-08-18,550,17,589
213,Diagnostic,2018-08-20,596,14,643
214,Therapeutic,2018-08-21,618,29,659
215,Diagnostic,2018-08-22,608,29,620
216,Diagnostic,2018-08-22,624,17,669
217,Monitoring,2018-08-22,590,4,608
218,Surgical,2018-08-22,575,3,601
219,Monitoring,2018-08-23,533,18,570
220,Surgical,2018-08-23,614,4,662
221,Diagnostic,2018-08-24,609,29,644
222,Surgical,2018-08-25,624,20,643
223,Therapeutic,2018-08-26,647,4,698
224,Monitoring,2018-08-27,582,7,608
225,Diagnostic,2018-08-27,534,14,550
226,Surgical,2018-08-30,561,25,597
227,Surgical,2018-08-31,655,4,684
228,Surgical,2018-09-01,580,11,605
229,Diagnostic,2018-09-02,672,5,717
230,Therapeutic,2018-09-02,506,3,528
231,Surgical,2018-09-02,556,23,574
232,Diagnostic,2018-09-02,617,16,663
233,Monitoring,2018-09-04,569,5,609
234,Monitoring,2018-09-04,680,6,702
235,Diagnostic,2018-09-04,581,16,626
236,Monitoring,2018-09-04,615,4,662
237,Diagnostic,2018-09-06,584,16,600
238,Monitoring,2018-09-06,558,7,601
239,Surgical,2018-09-08,630,16,644
240,Monitoring,2018-09-08,555,13,594
241,Therapeutic,2018-09-10,647,22,662
242,Therapeutic,2018-09-11,554,16,572
243,Therapeutic,2018-09-12,632,14,666
244,Diagnostic,2018-09-13,627,26,663
245,Monitoring,2018-09-13,556,23,590
246,Monitoring,2018-09-14,490,10,523
247,Surgical,2018-09-14,572,11,602
248,Diagnostic,2018-09-14,552,19,573
249,Surgical,2018-09-14,597,25,619
250,Monitoring,2018-09-14,706,24,736
251,Therapeutic,2018-09-16,609,17,648
252,Monitoring,2018-09-18,547,27,585
253,Monitoring,2018-09-19,572,13,591
254,Monitoring,2018-09-22,574,25,591
255,Surgical,2018-09-24,612,23,648
256,Monitoring,2018-09-25,534,4,560
257,Monitoring,2018-09-25,522,13,542
258,Therapeutic,2018-09-26,520,15,559
259,Surgical,2018-09-28,556,8,576
260,Surgical,2018-09-28,655,23,687
261,Therapeutic,2018-09-29,686,29,730
262,Therapeutic,2018-09-29,677,13,691
263,Surgical,2018-10-03,613,17,652
